Timestamp,Age,Gender,What is your highest level of education?,Current status ,"If you are a student, what is your current or most recent field of study?",What career do you aspire to pursue?,Have you ever received any form of career guidance or counselling? ,"If yes, where did you receive this guidance?",What skills do you believe are most important for your desired career?,What areas do you feel you need the most guidance in?,What are the main challenges you face in pursuing your desired career? ,How do you currently access information about careers?,How would you prefer to receive career guidance?,How comfortable are you with using online platforms for career guidance?,How satisfied are you with the current level of career guidance available to you?,How important do you believe career guidance is for your future success?,What features would you find most useful in an AI-based career guidance system?,Do you have any concerns about using AI for career guidance? ,How likely are you to use an AI-based career guidance system if it were available?,What suggestions do you have for improving career guidance services in Uganda?,Are you planning to pursue further education or training?,Are you currently looking for a job or planning to start a job search soon? ,Are you considering starting your own business as a career option?  ,Do you have access to financial resources or scholarships to support your education or career goals? ,How much influence does your family have on your career choices?,"Do you have regular access to a smartphone, computer, or the internet?",,,
2024/10/02 6:35:32 PM GMT+3,18-22,Male,UACE certificate,Student,Career guidance actually ,It technician I guess ,Yes,School,Communication skills ,Choosing a career;Job search;Further education;Skill development,Lack of information;Limited opportunities,Family;Teachers;Career counselors,Workshops,Somewhat comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Accuracy,Likely,Introduce career guidance platforms in schools ,Yes,Maybe,No,Not sure,Some,Yes,,,
2024/10/02 7:51:51 PM GMT+3,18-22,Male,Bachelor’s degree,Student,Economics and statistics ,Analyst,Yes,School,Data analysis ,Further education;Skill development,Lack of information,Family;Internet,Online tools,Very comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy,Very likely,,Yes,Yes,Maybe,Not sure,Some,Yes,,,
2024/10/02 8:43:18 PM GMT+3,36+,Male,Bachelor’s degree,Employed,,,Yes,Family,"Critical thinking , cinematography, photography, interpersonal and negotiation.",Skill development,Financial constraints,Internet,One-on-one counseling,Somewhat comfortable,Satisfied,Very important,Skill assessment;Resource library,Data privacy,Likely,More research and family oriented guidance would be helpful.,Yes,Yes,Yes,Not sure,Some,Yes,,,
2024/10/02 9:10:56 PM GMT+3,23-28,Male,UACE certificate,Student,Bachelor of Laws,I aspire to become a lawyer,Yes,Career guidance counselor,"Drafting documents, research skills, trial advocacy and soft skills ",Further education,Limited opportunities,Career counselors,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Skill assessment;Job matching,Data privacy,Likely,None whatsoever,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/10/02 9:34:45 PM GMT+3,18-22,Female,UACE certificate,Student,Bachelor of Arts in economics ,Something to do with the economics field ,Maybe,,Soft skills ,Job search,Lack of information,Internet,Workshops,Somewhat comfortable,Neutral,Important,Skill assessment,Access,Likely,Improve technology ,No,No,Maybe,No,A lot,Yes,,,
2024/10/02 10:17:21 PM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,School,Computer ,Choosing a career;Skill development,Lack of information,Family;Internet,One-on-one counseling,Not comfortable,Neutral,Very important,Resource library,Accuracy,Not likely,People should be honest about the career paths and what exactly happens there ,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/02 11:50:56 PM GMT+3,23-28,Female,UACE certificate,Employed,,Music ,Yes,School,Creativity,Skill development,Financial constraints,Internet,Workshops,Somewhat comfortable,Neutral,Neutral,Resource library,Accuracy,Not likely,,Yes,No,Yes,No,Some,Yes,,,
2024/10/03 12:27:13 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,,,No,,Content Creation,Skill development,Financial constraints,Internet,One-on-one counseling,Very comfortable,Dissatisfied,Very important,Skill assessment,Accuracy,Very likely,We need to encourage people to profoundly improve their skill set.,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/03 1:50:15 AM GMT+3,18-22,Female,Bachelor’s degree,Unemployed,,,Yes,School,"Communication 
Writing 
Research based skills generally ",Choosing a career;Further education,Financial constraints,Internet;Career counselors,One-on-one counseling,Not comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Likely,,Yes,Yes,Maybe,Yes,Some,Yes,,,
2024/10/03 7:29:46 AM GMT+3,23-28,Male,Bachelor’s degree,Unemployed,,Professional software engineer ,Yes,Family,"Coding skills, problem solving, adapting skills",Further education;Skill development,Lack of information;Financial constraints;Limited opportunities,Family;Internet;Teachers,Online tools,Somewhat comfortable,Neutral,Important,Skill assessment;Job matching;Resource library,Accuracy;Access,Likely,To have a general and open platform to allow someone to literally understand the depth of their career.,Maybe,Yes,Yes,No,Some,Yes,,,
2024/10/03 7:37:04 AM GMT+3,29-35,Male,Bachelor’s degree,Employed,Filming,Film Making ,Yes,School,Planning ,Skill development,Work-life balance is still a challenge to master ,Internet,One-on-one counseling,Somewhat comfortable,Very satisfied,Very important,Skill assessment,Data privacy,Neutral,I'd suggest parents/guardians are informed on career guidance because their voice on the same is weightier as compared to people outside family/parents/guardians  circles. ,Yes,No,Yes,Yes,None,Yes,,,
2024/10/03 9:29:41 AM GMT+3,23-28,Female,UACE certificate,Employed,Year 3 ,Human resource management ,Yes,School,Hands on work ,Choosing a career;Job search;Skill development,Lack of information;Financial constraints,Internet,One-on-one counseling,Very comfortable,Very satisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy;Access,Very likely,None ,Yes,No,Maybe,Not sure,None,Yes,,,
2024/10/03 11:28:32 AM GMT+3,23-28,Male,Bachelor’s degree,Employed,Accounting ,Accounting ,Yes,School,Analytical ,Choosing a career,Lack of information,Internet,One-on-one counseling,Very comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Very likely,Career guidance should be emphasized in schools.,Yes,Yes,Yes,Not sure,None,Yes,,,
2024/10/03 1:00:42 PM GMT+3,18-22,Female,Bachelor’s degree,Student,Bachelor's degree of science in Software Engineering ,Software Engineering and project management.,Yes,Online,Software development ,Choosing a career;Job search;Further education;Skill development,Lack of information;Financial constraints;Limited opportunities,Internet;Career counselors,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching;Resource library,Data privacy;Accuracy;Access,Very likely,Connecting people to jobs based on their experience.,Yes,Maybe,Yes,Not sure,Some,Yes,,,
2024/10/03 5:44:52 PM GMT+3,18-22,Female,UACE certificate,Student,Civil Engineering,Energy engineering,Maybe,Online,"CAD 
Data analysis",Further education;Skill development,Lack of information;Financial constraints,Internet,Workshops,Somewhat comfortable,Neutral,Important,Personalized recommendations;Skill assessment;Resource library,Accuracy,Likely,Start guidance as ealry as senior three befcause that's where major choices paving the career path begin.,Yes,Maybe,No,No,A lot,Yes,,,
2024/10/05 4:05:58 PM GMT+3,18-22,Female,Bachelor’s degree,Employed,Computer science ,Cyber security and artificial intelligence ,Yes,School,Coding ,Further education;Skill development,Financial constraints;Limited opportunities,Family;Internet,Online tools,Very comfortable,Very satisfied,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Access,Very likely,Make them accessible to schools,Yes,Yes,Yes,Yes,Some,Yes,,,
2024/10/06 5:21:28 PM GMT+3,23-28,Female,Master’s degree,Employed,MONITORING AND EVALUATION,DATA ANALITICS,Yes,Family,Computer skills,Skill development,Limited opportunities,Family,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Skill assessment,Accuracy,Likely,Mentorship,Yes,Yes,Yes,No,Some,Yes,,,
2024/10/07 11:28:46 AM GMT+3,23-28,Female,Bachelor’s degree,Student,Bachelor of Science in Comouter engineering ,Aerospace engineering ,Yes,Career guidance counselor,"Mechanics, Computer skills, aeronautics",Choosing a career,Financial constraints;Limited opportunities,Internet,One-on-one counseling,Somewhat comfortable,Satisfied,Very important,Personalized recommendations,Data privacy,Likely,Create a curriculum that suites the needs of Ugandans,Yes,Yes,Maybe,Not sure,Some,Yes,,,
2024/10/07 12:04:22 PM GMT+3,18-22,Female,Bachelor’s degree,Unemployed,Accounting,Financial Analyst,Yes,Online,"Technical skills,data analysis,excel proficiency",Job search;Skill development,Limited opportunities,Internet,Workshops,Somewhat comfortable,Dissatisfied,Very important,Job matching,Data privacy,Very likely,,Yes,Yes,No,No,Some,Yes,,,
2024/10/08 1:21:47 PM GMT+3,29-35,Male,Bachelor’s degree,Student,"Economics, Organizational Leadership","Organizational Management, Business Leadership",Yes,School,"Interpersonal skills, Computer skills, Teamwork, Adaptability, Leadership ",Skill development,Financial constraints,Internet;Teachers,Workshops,Very comfortable,Satisfied,Very important,Personalized recommendations;Skill assessment,Data privacy,Very likely,Extension of internet career guidance would allow more to access the knowledge they need online ,Yes,Yes,Yes,No,Some,Yes,,,
2024/10/12 9:37:23 AM GMT+3,36+,Male,Bachelor’s degree,Employed,,,Yes,School,Financial Reporting skills ,Skill development,Financial constraints,Internet,Online tools,Very comfortable,Satisfied,Important,Skill assessment,Data privacy,Likely,,Yes,Yes,Yes,No,A lot,Yes,,,
2024/10/12 9:41:11 AM GMT+3,23-28,Female,Bachelor’s degree,Employed,,,Yes,Family,Interpersonal skills,Further education,Lack of information,Internet,Workshops,Not comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Resource library,Data privacy,Very likely,,Yes,No,Yes,Yes,Some,Yes,,,
2024/10/12 9:52:31 AM GMT+3,36+,Male,Master’s degree,Employed,Executive masters-Finance & Entrepreneurship,,No,Family,"Communication,",Job search;Further education;Skill development,Lack of information;Limited opportunities,Internet,Workshops,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Very likely,Integrate career guidance at an early stage of Rducation.,Yes,No,Yes,Yes,Some,Yes,,,
2024/10/14 8:26:31 PM GMT+3,18-22,Prefer not to say,UACE certificate,Student,Software,Engineering,Yes,School,programming,Job search,Financial constraints,Internet;Teachers,Workshops,Somewhat comfortable,Satisfied,Important,Job matching,Accuracy;Access,Likely,train more councelors,Yes,Yes,Yes,No,None,Yes,,,
2024/10/15 1:59:06 PM GMT+3,18-22,Female,Bachelor’s degree,Student,Software Engineering,Data Scientist,Yes,Family,Technical,Skill development,Limited opportunities,Internet,Online tools,Very comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Accuracy,Very likely,Use more of IT tools to broaden the spread of career guidance information,Maybe,Yes,Maybe,No,Some,Yes,,,
2024/10/15 4:07:50 PM GMT+3,18-22,Male,Bachelor’s degree,Student,Computer engineering,Data analyst,Maybe,Family,Computational skills,Skill development,Limited opportunities,Internet;Teachers,Online tools,Very comfortable,Satisfied,Important,Personalized recommendations;Skill assessment;Job matching,Data privacy;Accuracy,Neutral,Improved resources to be allocated,Maybe,No,No,Yes,Some,Yes,,,
2024/10/15 7:33:18 PM GMT+3,23-28,Female,Bachelor’s degree,Student,Architecture ,Architecture ,Yes,School,Creativity ,Skill development,Financial constraints,Internet,One-on-one counseling,Very comfortable,Neutral,Very important,Personalized recommendations,Accuracy,Very likely,Organizing workshops and educating people about the importance of career guidance ,Yes,Yes,Yes,No,Some,Yes,,,
2024/10/16 9:54:47 AM GMT+3,18-22,Male,UACE certificate,Student,Law,Legal career ,Yes,School,Networking skills,Further education,Lack of information,Internet,Workshops,Very comfortable,Dissatisfied,Very important,Personalized recommendations,Accuracy,Very likely,.,Yes,Yes,Yes,No,None,Yes,,,
2024/10/16 10:49:58 AM GMT+3,18-22,Female,Bachelor’s degree,Student,Computer science ,Software developer ,Yes,School,"Programming skills, database, communication skills",Job search;Skill development,Lack of enough time to develop my careers ,Career counselors,One-on-one counseling,Somewhat comfortable,Neutral,Very important,Personalized recommendations;Skill assessment;Job matching,Data privacy,Neutral,Providing career paths system. ,Yes,Yes,Yes,Not sure,None,Yes,,,
2024/10/23 6:42:34 PM GMT+3,23-28,Female,Bachelor’s degree,Employed,,A chef,Yes,Family,Integrity and faithfulness with work ,Skill development,Financial constraints,Internet,Workshops,Very comfortable,Satisfied,Very important,Resource library,Access,Very likely,That they should be more practical ,Yes,Maybe,Yes,No,A lot,Yes,,,
2024/10/23 7:12:47 PM GMT+3,18-22,Female,Bachelor’s degree,Employed,Information technology ,IT career,Yes,School,Being good with a computer ,Job search,Limited opportunities,Internet,Workshops,Very comfortable,Neutral,Neutral,Skill assessment,Accuracy,Neutral,,Maybe,Yes,Maybe,Not sure,A lot,Yes,,,
